Success,Time
false,37.5
false,29.0
false,29.0
false,3.5
false,73.0
false,17.0
false,55.5
false,5.0
false,44.0
false,12.0
false,27.0
false,36.5
false,39.5
false,11.5
false,5.5
false,24.5
false,88.5
false,7.5
false,74.0
false,29.0
false,8.0
false,31.0
false,80.0
false,4.5
false,64.0
false,57.0
false,56.0
false,53.0
false,9.0
false,78.0
false,16.0
false,13.0
false,132.5
false,39.0
false,14.0
false,31.0
false,25.0
false,8.5
false,1.5
false,2.5
false,39.0
false,5.0
false,30.0
false,60.5
false,23.0
false,47.5
false,7.5
false,38.5
false,55.0
false,7.0
false,38.5
false,46.5
false,14.5
false,53.0
false,25.5
false,55.0
false,11.0
false,30.0
false,41.5
false,70.5
false,6.5
false,10.5
false,38.0
false,22.5
false,28.5
false,15.5
false,11.5
false,11.5
false,12.5
false,53.0
false,49.0
false,32.0
false,33.5
false,23.5
false,37.0
false,16.0
false,6.0
false,40.5
false,21.5
false,45.0
false,11.5
false,1.0
false,8.5
false,8.0
false,10.0
false,62.5
false,3.0
false,90.0
false,47.0
false,34.5
false,20.0
false,44.0
false,15.0
false,62.5
false,22.5
false,35.0
false,28.0
false,48.0
false,33.0
false,31.0
false,25.0
false,27.5
false,37.5
false,58.0
false,55.0
false,68.0
false,9.0
false,6.0
false,56.0
false,32.0
false,48.0
false,22.5
false,81.5
false,40.5
false,30.0
false,38.0
false,23.0
false,10.0
false,27.5
false,20.5
false,36.0
false,39.0
false,41.0
false,4.0
false,60.0
false,44.0
false,19.0
false,40.5
false,87.0
false,82.0
false,18.5
false,23.5
false,9.0
false,42.5
false,44.0
false,9.0
false,16.0
false,35.0
false,19.0
false,47.5
false,62.0
false,27.5
false,30.0
false,76.5
false,18.5
false,76.5
false,36.0
false,22.0
false,41.0
false,119.0
false,30.0
false,38.5
false,102.0
false,3.5
false,31.5
false,155.5
false,32.0
false,13.0
false,44.5
false,32.0
false,82.0
false,63.0
false,23.0
false,56.0
false,26.5
false,125.0
false,69.5
false,46.0
false,51.0
false,8.0
false,71.5
false,64.5
false,27.0
false,23.0
false,82.0
false,54.0
false,34.0
false,9.0
false,52.5
false,14.5
false,72.0
false,48.5
false,11.0
false,63.0
false,72.5
false,54.0
false,15.0
false,114.5
false,78.0
false,147.0
false,36.0
false,19.0
false,69.5
false,63.0
false,173.0
